title,url,domain,excerpt,note,cover,tags,ddc_code,ddc_label,created
Meditations by Marcus Aurelius — MIT Classics,http://classics.mit.edu/Antoninus/meditations.html,MIT Classics,"The Meditations of Marcus Aurelius, translated by George Long.",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/MSR-v1p568.jpg/440px-MSR-v1p568.jpg,philosophy stoicism classics,180,Philosophy,2024-01-15
The Internet Classics Archive — Stoic Works,http://classics.mit.edu/Browse/browse-Stoics.html,MIT Classics,Browse Stoic philosophy texts online.,,,philosophy stoicism,180,Philosophy,2024-01-15
Stanford Encyclopedia of Philosophy,https://plato.stanford.edu,plato.stanford.edu,"Comprehensive academic encyclopedia of philosophy, maintained by Stanford University.",,https://plato.stanford.edu/symbols/sep-man-red.png,philosophy reference,100,Philosophy,2024-02-01
Stoicism — Stanford Encyclopedia of Philosophy,https://plato.stanford.edu/entries/stoicism/,plato.stanford.edu,"Detailed academic treatment of Stoic philosophy, its history and core doctrines.",,,philosophy stoicism,188,Stoic philosophy,2024-02-01
CCEL — Christian Classics Ethereal Library,https://ccel.org,ccel.org,"Digital library of classic Christian texts, including Augustine, Aquinas, and the Church Fathers.",,https://ccel.org/favicon.ico,christian classics theology history,230,Christian theology,2024-01-10
Project Gutenberg,https://www.gutenberg.org,gutenberg.org,"Free ebooks — over 70,000 titles in the public domain. The original digital library.",,https://www.gutenberg.org/gutenberg/pg-logo-129x80.png,books classics public-domain,020,Library science,2024-01-01
Internet Archive — Texts,https://archive.org/details/texts,archive.org,"Millions of free books, movies, software, music, and more.",,,archive books history,020,Library science,2024-01-01
Wikisource — Historical Documents,https://en.wikisource.org/wiki/Portal:History,en.wikisource.org,"Primary source documents — speeches, letters, treaties, and historical texts.",,,history primary-sources,900,History & geography,2024-03-01
Standard Ebooks,https://standardebooks.org,standardebooks.org,"Free, carefully formatted, and typo-free ebooks of classic literature.",,https://standardebooks.org/images/logo.svg,books classics literature,800,Literature,2024-01-05
G. K. Chesterton — Works at Gutenberg,https://www.gutenberg.org/ebooks/author/437,gutenberg.org,Complete list of G. K. Chesterton works available at Project Gutenberg.,,,chesterton literature apologetics,828,English literature,2024-01-20
Perseus Digital Library,https://www.perseus.tufts.edu,perseus.tufts.edu,"Greek and Latin texts with translations, tools for reading ancient literature.",,,classics greek latin history,480,Classical languages,2024-02-15
How to Read a Book — Mortimer Adler,https://en.wikipedia.org/wiki/How_to_Read_a_Book,en.wikipedia.org,Mortimer Adler's classic guide to analytical and syntopical reading.,,,reading education learning,028,Reading,2024-03-10
The Art of Note-Taking — Wikipedia,https://en.wikipedia.org/wiki/Commonplace_book,en.wikipedia.org,History and practice of commonplace books — the original personal knowledge base.,,,notes learning commonplace-book,028,Reading,2024-03-10
Zettelkasten — Introduction,https://zettelkasten.de/introduction/,zettelkasten.de,Introduction to the Zettelkasten method of connected note-taking.,,,notes productivity learning,028,Reading,2024-04-01
Augustine of Hippo — Stanford Encyclopedia,https://plato.stanford.edu/entries/augustine/,plato.stanford.edu,Comprehensive treatment of Augustine's philosophy and theology.,,,augustine theology philosophy,230,Christian theology,2024-02-20
The Confessions of St. Augustine — CCEL,https://ccel.org/ccel/augustine/confessions,ccel.org,Complete text of the Confessions with study tools.,,,augustine confessions theology,230,Christian theology,2024-02-20
Mere Christianity — C. S. Lewis,https://www.samizdat.qc.ca/cosmos/philo/PDFs/MereChristianity_CSL.pdf,samizdat.qc.ca,"C. S. Lewis's classic defense of Christian belief, adapted from BBC radio talks.",,,lewis apologetics theology,230,Christian theology,2024-03-15
Edmund Burke — Works at Gutenberg,https://www.gutenberg.org/ebooks/author/379,gutenberg.org,Edmund Burke's works including Reflections on the Revolution in France.,,,burke politics history philosophy,320,Political science,2024-04-10
Reflections on the Revolution in France,https://www.gutenberg.org/ebooks/15679,gutenberg.org,Burke's classic critique of the French Revolution and defense of tradition.,,,burke politics history revolution,944,History of France,2024-04-10
The Federalist Papers — Congress.gov,https://guides.loc.gov/federalist-papers/full-text,loc.gov,Complete text of the Federalist Papers at the Library of Congress.,,,american-history constitution politics,342,Constitutional law,2024-04-15
